Country,Year,Agriculture,Non-agriculture,Total
Albania,2012,97.6,40.2,66.6
Albania,2013,96.4,33.1,61
Albania,2014,99.6,41,65.6
Albania,2015,99.5,38.1,63.4
Albania,2016,99.5,36.4,61.6
Albania,2017,99.3,33.7,58.7
Albania,2018,98.9,33.5,57.9
Angola,2011,99.8,68.1,84.3
Argentina,2010,78.5,48.2,48.5
Argentina,2011,61.2,47.6,47.7
Argentina,2012,58.6,47.7,47.8
Argentina,2013,63.4,47.3,47.4
Argentina,2014,56.4,46.8,46.8
Argentina,2017,18.9,47.9,47.9
Argentina,2018,13.3,48.1,48.1
Armenia,2014,99.5,37.5,59.1
Armenia,2015,99,26.5,52.1
Armenia,2016,99.4,24.9,49.9
Armenia,2017,98.5,24.8,47.9
Armenia,2018,98.3,33.7,50.3
Armenia,2011,98.9,39.1,62.4
Armenia,2012,99.4,39,61.5
Armenia,2013,99.3,38.2,60.4
Bangladesh,2010,94.1,82.2,87.8
Bangladesh,2013,98,82.4,89.4
Bangladesh,2017,99.7,91.3,94.7
Barbados,2016,74.3,62,62.2
Benin,2011,99.8,94.5,96.8
Benin,2018,99.8,95.7,96.9
Bolivia,2016,95.4,68.2,76.3
Bolivia,2017,96.6,71.5,79.1
Bolivia,2018,97.4,73.2,80.7
Bolivia,2011,99.3,76.6,83.3
Bolivia,2012,99,75.6,82.1
Bolivia,2013,99.2,72.6,80.4
Bolivia,2014,99.6,78.7,85.2
Bolivia,2015,99.4,78.2,84.1
Bosnia and Herzegovina,2010,90.4,18.1,32.4
Bosnia and Herzegovina,2011,90.6,16.3,30.9
Bosnia and Herzegovina,2012,90.8,18.9,33.7
Bosnia and Herzegovina,2013,90.9,17.7,31.5
Bosnia and Herzegovina,2014,89.8,16.8,29.3
Bosnia and Herzegovina,2015,90,17.1,30.1
Bosnia and Herzegovina,2016,89.9,17.5,30.5
Bosnia and Herzegovina,2017,76,12.9,24.8
Bosnia and Herzegovina,2018,72.7,12.7,22.1
Brazil,2011,87.1,38.5,46
Brazil,2012,86.2,38.2,45.1
Brazil,2013,86.5,37.1,44.1
Brazil,2014,86.5,37.8,44.8
Brazil,2015,86.1,38.3,45
Brazil,2016,78.6,42.5,46.2
Brazil,2017,78.5,44,47.3
Brazil,2018,77.7,44.7,47.7
Brunei Darussalam,2014,39.8,33,33
