ref_area.label,indicator.label,source.label,time,obs_value,obs_status.label,note_indicator.label,note_source.label
Aruba,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2011,4.03,,,
Aruba,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),PC - Population and Housing Census,2010,5.02,,,Data reference period: September | Age coverage - minimum age: 14 years old
Afghanistan,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),HIES - Living Conditions Survey,2012,6.77,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),HIES - Living Conditions Survey,2014,7.34,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),HIES - Living Conditions Survey,2017,7.67,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2020,8.23,,,Repository: ILO-STATISTICS - Micro data processing
Angola,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),HIES - Questionnaire sur les Indicateurs de Base du Bien-être,2011,1.65,,,Repository: ILO-STATISTICS - Micro data processing
Angola,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Inquérito ao Emprego,2010,2.37,,,
Angola,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),PC - Recensements de Population,2014,1.25,,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2010,8.23,,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2011,7.66,,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2012,7.16,,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2013,7.49,,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 9.2.2 - Manufacturing employment as a proportion of total employment (%),LFS - Labour Force Survey,2014,8.67,,,Repository: ILO-STATISTICS - Micro data processing
