Country,Source,Year,Migrants,Non migrants,Total,Unknown
Argentina,Registro de Accidentes de Trabajo y Enfermedades Profesionales,2010,,,7131.5,
Argentina,Registro de Accidentes de Trabajo y Enfermedades Profesionales,2011,,,5608,
Argentina,Registro de Accidentes de Trabajo y Enfermedades Profesionales,2012,,,5094,
Argentina,Registro de Accidentes de Trabajo y Enfermedades Profesionales,2014,,,4676.6,
Argentina,Registro de Accidentes de Trabajo y Enfermedades Profesionales,2015,,,4544.1,
Argentina,Registro de Accidentes de Trabajo y Enfermedades Profesionales,2016,,,4193.1,
Argentina,Registro de Accidentes de Trabajo y Enfermedades Profesionales,2017,5145.9,3871.8,3918.5,
Argentina,Registro de Accidentes de Trabajo y Enfermedades Profesionales,2018,4799.7,3668.9,3771.2,
Armenia,Statistical Report on Occupational Injuries,2013,,,45.8,
Armenia,Statistical Report on Occupational Injuries,2018,,,50,
Armenia,Statistical Report on Occupational Injuries,2019,,,35.1,
Australia,National Data Standards for Injury Surveillance Records,2010,,,912.5,
Australia,National Data Standards for Injury Surveillance Records,2011,,,907.5,
Australia,National Data Standards for Injury Surveillance Records,2012,,,1016.4,
Australia,National Data Standards for Injury Surveillance Records,2013,,,1011.5,
Australia,National Data Standards for Injury Surveillance Records,2014,,,912.8,
Australia,National Data Standards for Injury Surveillance Records,2015,,,1054.5,
Australia,National Data Standards for Injury Surveillance Records,2016,,,933.1,
Australia,National Data Standards for Injury Surveillance Records,2017,,,898.7,
Austria,AUVA database Records from all insurance companies,2010,,1861.6,1914.2,
Austria,AUVA database Records from all insurance companies,2011,,1721.1,1810.1,
Austria,AUVA database Records from all insurance companies,2012,,1502.8,1602,
Austria,AUVA database Records from all insurance companies,2013,,1398.1,1548.4,
Austria,AUVA database Records from all insurance companies,2014,,1441.8,1590.6,
Austria,AUVA database Records from all insurance companies,2015,,1330.5,1476,
Austria,AUVA database Records from all insurance companies,2016,,,1952,
Azerbaijan,Labour Inspectorate Records,2016,,,12,
Azerbaijan,Labour Inspectorate Records,2017,,,8,
Azerbaijan,Labour Inspectorate Records,2018,,,9,
Azerbaijan,Labour Inspectorate Records,2019,,,15,
Azerbaijan,Labour Inspectorate Records,2020,,,12,
Barbados,Labour Department,2016,,,388.3,
Belarus,Labour-related Establishment Survey,2010,,,60,
Belarus,Labour-related Establishment Survey,2011,,,56.6,
Belarus,Labour-related Establishment Survey,2012,,,51.6,
Belarus,Labour-related Establishment Survey,2013,,,50.5,
Belarus,Labour-related Establishment Survey,2014,,,47.7,
Belarus,Labour-related Establishment Survey,2015,,,40.9,
Belarus,Labour-related Establishment Survey,2016,,,40.6,
Belarus,Labour-related Establishment Survey,2017,,,38.8,
Belarus,Labour-related Establishment Survey,2018,,,46.7,
Belarus,Labour-related Establishment Survey,2019,,,51.3,
Belgium,Données transmises par les sociétés d'Assurance par voie électronique,2010,,1971.2,2048.9,
Belgium,Données transmises par les sociétés d'Assurance par voie électronique,2011,,2305.8,2401.5,
Belgium,Données transmises par les sociétés d'Assurance par voie électronique,2012,,2036.3,2127.3,
Belgium,Données transmises par les sociétés d'Assurance par voie électronique,2013,,2013.6,2098.9,
Belgium,Données transmises par les sociétés d'Assurance par voie électronique,2014,,1874.3,1925.5,
Belgium,Données transmises par les sociétés d'Assurance par voie électronique,2015,,1374.8,1403,
Belize,Social Security Board Records,2011,,,1996.9,
Belize,Social Security Board Records,2012,,,1954.4,
Belize,Social Security Board Records,2015,2772.9,1697.8,1882.2,
Belize,Social Security Board Records,2016,2616.1,1598.8,1770,
Belize,Social Security Board Records,2017,1814.5,1671.9,1701.3,
Brazil,Registros de Seguros,2011,,,1609.3,
Brazil,Registros de Seguros,2016,,,1426,
Brazil,Registros de Seguros,2017,,,1374,
Bulgaria,Insurance Records,2010,,91.2,91.2,
Bulgaria,Insurance Records,2011,,87.2,87.3,
Bulgaria,Insurance Records,2012,,88.8,88.9,
Bulgaria,Insurance Records,2013,,83.2,83.2,
Bulgaria,Insurance Records,2014,,85.2,85.4,
Bulgaria,Insurance Records,2015,,86.1,86.2,
Bulgaria,Insurance Records,2016,,,83,
Canada,"National Work Injuries Statistics Program, (NWISP), Association of Workers' Compensation Boards of Canada (AWCBC).",2010,,,1256.1,
Canada,"National Work Injuries Statistics Program, (NWISP), Association of Workers' Compensation Boards of Canada (AWCBC).",2011,,,1246,
Canada,"National Work Injuries Statistics Program, (NWISP), Association of Workers' Compensation Boards of Canada (AWCBC).",2013,,,1205,
Canada,"National Work Injuries Statistics Program, (NWISP), Association of Workers' Compensation Boards of Canada (AWCBC).",2014,,,1189,
Canada,"National Work Injuries Statistics Program, (NWISP), Association of Workers' Compensation Boards of Canada (AWCBC).",2015,,,1148.5,
Canada,"National Work Injuries Statistics Program, (NWISP), Association of Workers' Compensation Boards of Canada (AWCBC).",2016,,,1131.7,
Canada,"National Work Injuries Statistics Program, (NWISP), Association of Workers' Compensation Boards of Canada (AWCBC).",2017,,,1206.5,
Canada,"National Work Injuries Statistics Program, (NWISP), Association of Workers' Compensation Boards of Canada (AWCBC).",2018,,,1271.4,
Chile,Superintendencia de Seguridad Social,2011,,,5488.3,
Chile,Superintendencia de Seguridad Social,2012,,,4876.2,
Chile,Superintendencia de Seguridad Social,2013,,,4287.6,
Chile,Superintendencia de Seguridad Social,2017,,,3367.7,
Chile,Superintendencia de Seguridad Social,2018,,,3141.8,
Colombia,Registros de Relaciones Laborales,2013,,,6310,
Colombia,Registros de Relaciones Laborales,2015,,,7495.6,
Colombia,Registros de Relaciones Laborales,2017,,,3.7,
Colombia,Registros del Ministerio de Salud y Protección Social,2011,,,3237.3,
Colombia,Registros del Ministerio de Salud y Protección Social,2012,,,3417.2,
Colombia,Registros del Ministerio de Salud y Protección Social,2014,,,3369,
Costa Rica,"Planillas de la Caja Costarricense de Seguro Social, CCSS",2010,,,12004.5,
Costa Rica,"Planillas de la Caja Costarricense de Seguro Social, CCSS",2011,,,11733.4,
Costa Rica,"Planillas de la Caja Costarricense de Seguro Social, CCSS",2012,,,11853.5,
Costa Rica,"Planillas de la Caja Costarricense de Seguro Social, CCSS",2013,,,10299.3,
Costa Rica,"Planillas de la Caja Costarricense de Seguro Social, CCSS",2014,,,8866.9,
Costa Rica,"Planillas de la Caja Costarricense de Seguro Social, CCSS",2015,,,8916.3,
Costa Rica,"Planillas de la Caja Costarricense de Seguro Social, CCSS",2016,,,9421.4,
Croatia,Croatian Institute of Public Health,2012,,800,798.5,
Croatia,Croatian Institute of Public Health,2013,,834.2,843.5,
Croatia,Croatian Institute of Public Health,2014,,863.1,871.8,
Croatia,Croatian Institute of Public Health,2015,,949.3,950.7,
Croatia,Croatian Institute of Public Health,2016,,,1125.7,
Cuba,Sistema de Información Estadística Nacional,2010,,,1017,
Cyprus,Department of Labour Inspection,2010,,537.2,563,
Cyprus,Department of Labour Inspection,2011,,578,600.8,
Cyprus,Department of Labour Inspection,2012,,501.9,528.5,
Cyprus,Department of Labour Inspection,2013,,407,419.6,
Cyprus,Department of Labour Inspection,2014,,524.6,560.8,
Cyprus,Department of Labour Inspection,2015,,474.7,515.2,
Cyprus,Department of Labour Inspection,2016,,,602.3,
Cyprus,Department of Labour Inspection,2020,,,419.9,
Czechia,Administrative data from Czech Social Security Administration,2010,,1320.2,1332.8,
Czechia,Administrative data from Czech Social Security Administration,2011,,897.8,906.8,
Czechia,Administrative data from Czech Social Security Administration,2012,,852.8,875.6,
Czechia,Administrative data from Czech Social Security Administration,2013,,822.8,826.2,
Czechia,Administrative data from Czech Social Security Administration,2014,,845.5,850.5,
Czechia,Administrative data from Czech Social Security Administration,2015,,882,890.2,
Czechia,Administrative data from Czech Social Security Administration,2016,,,990.6,
Denmark,Register of reported Accidents at Work (RAW),2010,,2206.1,2323.4,
Denmark,Register of reported Accidents at Work (RAW),2011,,2040.3,2150.1,
Denmark,Register of reported Accidents at Work (RAW),2012,,2043.9,2142.5,
Denmark,Register of reported Accidents at Work (RAW),2013,,1992.9,2074,
Denmark,Register of reported Accidents at Work (RAW),2014,,1766.5,1988.1,
Denmark,Register of reported Accidents at Work (RAW),2015,,1755.5,1793.9,
Egypt,Establishment Survey,2011,,,987,
Egypt,Establishment Survey,2012,,,988.4,
Egypt,Establishment Survey,2014,,,889.5,
Egypt,Establishment Survey,2015,,,862.6,
Egypt,Labour Inspectorate Records,2016,,,669.5,
El Salvador,Registros del Ministerio de Trabajo y Previsión Social,2010,,,28.7,
Estonia,Estonian Labour Inspectorate,2010,,1060.9,1060.3,
Estonia,Estonian Labour Inspectorate,2011,,944.4,973.1,
Estonia,Estonian Labour Inspectorate,2012,,940.1,936.4,
Estonia,Estonian Labour Inspectorate,2013,,993.1,993.5,
Estonia,Estonian Labour Inspectorate,2014,,1014.8,1006.7,
Estonia,Estonian Labour Inspectorate,2015,,1115.1,1083.7,
Estonia,Estonian Labour Inspectorate,2016,,,784.2,
Finland,Federation of Accidents Insurance Institutions Records,2010,,1995,1972,
Finland,Federation of Accidents Insurance Institutions Records,2011,,2168.1,2138.7,
Finland,Federation of Accidents Insurance Institutions Records,2012,,1916.5,1889.6,
